Date,Close,Open,High,Low,Vol.,Change %
"Sep 03, 2014",207.43,206.45,207.43,206.45,-,0.47%
"Sep 04, 2014",207.43,207.43,207.43,207.43,-,0.00%
"Sep 05, 2014",206.84,206.84,206.84,206.84,-,-0.28%
"Sep 08, 2014",206.84,206.84,206.84,206.84,-,0.00%
"Sep 09, 2014",208.97,208.97,208.97,208.97,-,1.03%
"Sep 10, 2014",209.17,208.97,209.17,208.97,-,0.10%
"Sep 11, 2014",213.85,213.85,213.85,213.85,-,2.24%
"Sep 12, 2014",213.55,214.14,214.14,213.55,-,-0.14%
"Sep 16, 2014",208.87,216.37,216.37,208.87,-,-2.19%
"Sep 17, 2014",209.18,208.87,209.62,208.87,-,0.15%
"Sep 18, 2014",210.86,210.36,210.86,210.36,-,0.80%
"Sep 19, 2014",210.4,210.41,210.41,210.21,-,-0.22%
"Sep 22, 2014",210.4,210.4,210.4,210.4,-,0.00%
"Sep 23, 2014",210.84,210.21,210.84,210.21,-,0.21%
"Sep 24, 2014",211.15,210.84,211.34,210.84,-,0.15%
"Sep 25, 2014",211.17,211.17,211.17,211.15,-,0.01%
"Sep 26, 2014",209.19,211.17,211.39,209.19,-,-0.94%
"Sep 29, 2014",215.3,209.19,215.7,209.19,-,2.92%
"Sep 30, 2014",210.19,210.19,210.19,210.19,-,-2.37%
"Oct 01, 2014",211.19,208.25,211.19,208.25,-,0.48%
"Oct 02, 2014",212.14,211.19,212.14,211.19,-,0.45%
"Oct 03, 2014",216.87,212.19,216.87,210.24,-,2.23%
"Oct 06, 2014",210.24,216.87,216.87,210.24,-,-3.06%
"Oct 07, 2014",210.71,210.24,210.71,210.24,-,0.22%
"Oct 08, 2014",208.8,209.66,210.1,208.8,-,-0.91%
"Oct 09, 2014",213.14,213.14,213.14,213.14,-,2.08%
"Oct 10, 2014",211.23,214.54,215.17,210.25,-,-0.90%
"Oct 13, 2014",210.07,210.78,210.78,210.07,-,-0.55%
"Oct 14, 2014",210.78,210.78,210.78,210.78,-,0.34%
"Oct 15, 2014",208.8,209.39,209.39,208.74,-,-0.94%
"Oct 16, 2014",211.41,211.91,211.91,210.61,-,1.25%
"Oct 17, 2014",211.61,210.29,211.7,206.93,-,0.09%
"Oct 20, 2014",212.18,212.12,212.18,212.12,-,0.27%
"Oct 21, 2014",212.02,212.02,212.02,212.02,-,-0.08%
"Oct 22, 2014",209.4,208.74,209.94,208.74,-,-1.24%
"Oct 23, 2014",208.84,209.4,209.4,208.44,-,-0.27%
"Oct 24, 2014",215.34,215.82,215.82,214.84,-,3.11%
"Oct 27, 2014",214.6,218.43,218.63,214.6,-,-0.34%
"Oct 28, 2014",218.34,214.6,218.36,214.6,-,1.74%
"Oct 29, 2014",218.91,218.44,218.91,218.44,-,0.26%
"Oct 30, 2014",214.8,218.91,218.91,214.8,-,-1.88%
"Oct 31, 2014",215.07,214.82,215.07,214.8,-,0.13%
"Nov 03, 2014",215.67,215.07,216.33,215.07,-,0.28%
"Nov 04, 2014",216.82,215.67,216.82,215.67,-,0.53%
"Nov 05, 2014",220.78,220.29,220.78,220.28,-,1.83%
"Nov 06, 2014",221.17,220.29,221.17,219.88,-,0.18%
"Nov 07, 2014",219.88,221.17,221.17,219.88,-,-0.58%
"Nov 10, 2014",220.41,218.66,220.41,218.66,-,0.24%
"Nov 11, 2014",219.92,220.41,220.41,219.92,-,-0.22%
"Nov 12, 2014",222.85,219.91,224.14,219.91,-,1.33%
"Nov 13, 2014",221.62,222.85,222.85,221.62,-,-0.55%
"Nov 14, 2014",221.43,222.92,224.08,220.7,-,-0.09%
"Nov 18, 2014",223.89,221.43,223.89,221.43,-,1.11%
